"participant_code","contaminante","run_code","level_label","unidad","metodo","valor_asignado","u_xpt","sigma_pt","valor_participante","u_lab","U_lab","z","z_prima","zeta","en","clasificacion"
"p1","co","1","0-µmol/mol","µmol/mol","1",-0.024,0.0101725119808236,0.0778575,0.035,0.003,0.006,0.757794689015188,0.751408235224828,5.56306786223477,2.78153393111738,"Satisfactorio"
"p1","co","1","0-µmol/mol","µmol/mol","4",-0.024,0.00935335148489567,0.099424,0.035,0.003,0.006,0.593418088187963,0.590809462475621,6.00650298094912,3.00325149047456,"Satisfactorio"
"p1","co","1","1.4-µmol/mol","µmol/mol","1",1.39,0.0061199809367895,0.00370750000000009,1.459,0.006,0.012,18.6109238031014,9.64306924610632,8.05083401269461,4.02541700634731,"No satisfactorio"
"p1","co","1","1.4-µmol/mol","µmol/mol","4",1.39,0.00434086012982069,0.13336,1.459,0.006,0.012,0.517396520695862,0.517122647842892,9.31726022220055,4.65863011110028,"Satisfactorio"
"p1","co","1","2.8-µmol/mol","µmol/mol","1",2.771,0.00463330335721719,0.00519050000000009,2.869,0.005,0.01,18.8806473364798,14.0852305783844,14.376442175745,7.1882210878725,"No satisfactorio"
"p1","co","1","2.8-µmol/mol","µmol/mol","4",2.771,0.00863559314697028,0.166504,2.869,0.005,0.01,0.588574448661896,0.587784440939699,9.82096711632997,4.91048355816499,"Satisfactorio"
"p1","co","1","4.2-µmol/mol","µmol/mol","1",4.165,0.0134315859078516,0.0170544999999998,4.323,0.011,0.022,9.26441701603697,7.27822032744669,9.10081025115848,4.55040512557924,"No satisfactorio"
"p1","co","1","4.2-µmol/mol","µmol/mol","4",4.165,0.0129434355949261,0.19996,4.323,0.011,0.022,0.790158031606323,0.788507838804868,9.30164367769166,4.65082183884583,"Satisfactorio"
"p1","co","1","6.3-µmol/mol","µmol/mol","1",6.293,0.012047440945418,0.00444900000000083,6.489,0.008,0.016,44.054843785112,15.2616118424742,13.5530379461425,6.77651897307127,"No satisfactorio"
"p1","co","1","6.3-µmol/mol","µmol/mol","4",6.293,0.0189091902082911,0.251032,6.489,0.008,0.016,0.780776952739092,0.778571278688425,9.54613725568833,4.77306862784417,"Satisfactorio"
"p1","so2","1","0-nmol/mol","nmol/mol","1",-0.031,0.0645514179205658,0.259525,0.272,0.028,0.056,1.16751758019459,1.13299642116617,4.30626929157991,2.15313464578996,"Satisfactorio"
"p1","so2","1","0-nmol/mol","nmol/mol","4",-0.031,0.064357549709071,0.999318,0.272,0.028,0.056,0.303206787028754,0.302579953639145,4.31717932406885,2.15858966203443,"Satisfactorio"
"p1","so2","1","119-nmol/mol","nmol/mol","1",120.666,0.280358601219542,0.207620000000001,123.091,0.218,0.436,11.6799922936133,6.95110657069858,6.82827883764268,3.41413941882134,"No satisfactorio"
"p1","so2","1","119-nmol/mol","nmol/mol","4",120.666,0.417491912833983,3.654652,123.091,0.218,0.436,0.66353786899546,0.659250267496388,5.14882307638597,2.57441153819298,"Satisfactorio"
"p1","so2","1","179-nmol/mol","nmol/mol","1",179.108,0.936788898163411,1.0862975,184.535,0.559,1.118,4.99586899537188,3.7833601860607,4.97480895172501,2.4874044758625,"No satisfactorio"
"p1","so2","1","179-nmol/mol","nmol/mol","4",179.108,0.579973724144653,4.940376,184.535,0.559,1.118,1.09849938547187,1.09100724973249,6.73732492496019,3.36866246248009,"Satisfactorio"
"p1","so2","1","40-nmol/mol","nmol/mol","1",40.498,0.0906653921479041,0.0311430000000012,40.792,0.056,0.112,9.44032366823983,3.06681244551942,2.75886569629835,1.37943284814917,"No satisfactorio"
"p1","so2","1","40-nmol/mol","nmol/mol","4",40.498,0.124145098047942,1.890956,40.792,0.056,0.112,0.155476912207372,0.155142924053466,2.15873197313704,1.07936598656852,"Satisfactorio"
"p1","so2","1","80-nmol/mol","nmol/mol","1",80.533,0.0540695925020093,0.132728500000002,81.446,0.245,0.49,6.87870351883722,6.37039831289826,3.63896612510375,1.81948306255188,"No satisfactorio"
"p1","so2","1","80-nmol/mol","nmol/mol","4",80.533,0.241614564201609,2.771726,81.446,0.245,0.49,0.329397638871951,0.328153211368099,2.65332324822224,1.32666162411112,"Satisfactorio"
