"pollutant","run","level","participant_id","replicate","sample_group","d1","d2","d3","mean_value","sd_value","ux","k","ux_exp","source","unit","instrument","mean_h1","mean_h2","mean_h3","u_value","u_exp","k_factor","n_hours","hour_starts"
"no",1,"1","ZFT5R6",1,"A",0.078,NA,NA,0.078,0.151,0.019,2,0.038,"ronda_participante","nmol/mol","ZFT5R6",0.078,NA,NA,0.019,0.038,2,1,"0"
"no",2,"2","ZFT5R6",1,"A",180.515,179.657,179.54,179.904,0.532,0.307,2,0.614,"ronda_participante","nmol/mol","ZFT5R6",180.515,179.657,179.54,0.307,0.614,2,3,"100|160|220"
"no",3,"3","ZFT5R6",1,"A",118.97,120.268,120.648,119.962,0.88,0.508,2,1.016,"ronda_participante","nmol/mol","ZFT5R6",118.97,120.268,120.648,0.508,1.016,2,3,"345|405|465"
"no",4,"4","ZFT5R6",1,"A",79.65,79.63,79.779,79.686,0.081,0.047,2,0.094,"ronda_participante","nmol/mol","ZFT5R6",79.65,79.63,79.779,0.047,0.094,2,3,"535|595|655"
"no",5,"5","ZFT5R6",1,"A",37.998,37.987,38.03,38.005,0.022,0.013,2,0.026,"ronda_participante","nmol/mol","ZFT5R6",37.998,37.987,38.03,0.013,0.026,2,3,"715|775|835"
"no2",1,"1","ZFT5R6",1,"A",-0.66,NA,NA,-0.66,0.075,0.01,2,0.02,"ronda_participante","nmol/mol","ZFT5R6",-0.66,NA,NA,0.01,0.02,2,1,"0"
"no2",2,"2","ZFT5R6",1,"A",154.256,154.203,NA,154.23,0.037,0.026,2,0.052,"ronda_participante","nmol/mol","ZFT5R6",154.256,154.203,NA,0.026,0.052,2,2,"100|160"
"no2",3,"3","ZFT5R6",1,"A",123.045,122.876,122.824,122.915,0.116,0.067,2,0.134,"ronda_participante","nmol/mol","ZFT5R6",123.045,122.876,122.824,0.067,0.134,2,3,"250|310|370"
"no2",4,"4","ZFT5R6",1,"A",67.961,67.719,67.835,67.838,0.121,0.07,2,0.14,"ronda_participante","nmol/mol","ZFT5R6",67.961,67.719,67.835,0.07,0.14,2,3,"430|490|550"
"no2",5,"5","ZFT5R6",1,"A",35.682,35.261,34.968,35.304,0.359,0.207,2,0.414,"ronda_participante","nmol/mol","ZFT5R6",35.682,35.261,34.968,0.207,0.414,2,3,"610|670|730"
"o3",1,"1","ZFT5R6",1,"A",0.331,NA,NA,0.331,0.553,0.071,2,0.142,"ronda_participante","nmol/mol","ZFT5R6",0.331,NA,NA,0.071,0.142,2,1,"0"
"o3",2,"2","ZFT5R6",1,"A",181.518,183.4,184.502,183.14,1.509,0.871,2,1.742,"ronda_participante","nmol/mol","ZFT5R6",181.518,183.4,184.502,0.871,1.742,2,3,"100|160|220"
"o3",3,"3","ZFT5R6",1,"A",123.368,123.499,123.713,123.527,0.174,0.1,2,0.2,"ronda_participante","nmol/mol","ZFT5R6",123.368,123.499,123.713,0.1,0.2,2,3,"280|340|400"
"o3",4,"4","ZFT5R6",1,"A",82.46,82.839,82.508,82.602,0.206,0.119,2,0.238,"ronda_participante","nmol/mol","ZFT5R6",82.46,82.839,82.508,0.119,0.238,2,3,"460|520|580"
"o3",5,"5","ZFT5R6",1,"A",41.298,41.239,41.335,41.291,0.048,0.028,2,0.056,"ronda_participante","nmol/mol","ZFT5R6",41.298,41.239,41.335,0.028,0.056,2,3,"640|700|760"
