"pollutant","run","level","participant_id","replicate","sample_group","d1","d2","d3","mean_value","sd_value","ux","k","ux_exp","source","unit","instrument","mean_h1","mean_h2","mean_h3","u_value","u_exp","k_factor","n_hours","hour_starts"
"no",1,"1","4UDY72",1,"A",-0.159,NA,NA,-0.159,0.251,0.032,2,0.064,"ronda_referencia","nmol/mol","4UDY72",-0.159,NA,NA,0.032,0.064,2,1,"0"
"no",2,"2","4UDY72",1,"A",181.583,181.688,181.866,181.712,0.143,0.083,2,0.166,"ronda_referencia","nmol/mol","4UDY72",181.583,181.688,181.866,0.083,0.166,2,3,"100|160|220"
"no",3,"3","4UDY72",1,"A",119.826,120.933,121.324,120.694,0.777,0.449,2,0.898,"ronda_referencia","nmol/mol","4UDY72",119.826,120.933,121.324,0.449,0.898,2,3,"345|405|465"
"no",4,"4","4UDY72",1,"A",80.354,80.259,80.487,80.367,0.115,0.066,2,0.132,"ronda_referencia","nmol/mol","4UDY72",80.354,80.259,80.487,0.066,0.132,2,3,"535|595|655"
"no",5,"5","4UDY72",1,"A",38.787,38.575,38.529,38.63,0.138,0.08,2,0.16,"ronda_referencia","nmol/mol","4UDY72",38.787,38.575,38.529,0.08,0.16,2,3,"715|775|835"
"no2",1,"1","4UDY72",1,"A",0.304,NA,NA,0.304,0.239,0.031,2,0.062,"ronda_referencia","nmol/mol","4UDY72",0.304,NA,NA,0.031,0.062,2,1,"0"
"no2",2,"2","4UDY72",1,"A",154.021,153.955,NA,153.988,0.047,0.033,2,0.066,"ronda_referencia","nmol/mol","4UDY72",154.021,153.955,NA,0.033,0.066,2,2,"100|160"
"no2",3,"3","4UDY72",1,"A",122.135,122.049,122.02,122.068,0.06,0.035,2,0.07,"ronda_referencia","nmol/mol","4UDY72",122.135,122.049,122.02,0.035,0.07,2,3,"250|310|370"
"no2",4,"4","4UDY72",1,"A",66.206,65.951,65.774,65.977,0.217,0.125,2,0.25,"ronda_referencia","nmol/mol","4UDY72",66.206,65.951,65.774,0.125,0.25,2,3,"430|490|550"
"no2",5,"5","4UDY72",1,"A",33.394,33.476,33.569,33.48,0.088,0.051,2,0.102,"ronda_referencia","nmol/mol","4UDY72",33.394,33.476,33.569,0.051,0.102,2,3,"610|670|730"
"o3",1,"1","4UDY72",1,"A",-0.335,NA,NA,-0.335,0.225,0.029,2,0.058,"ronda_referencia","nmol/mol","4UDY72",-0.335,NA,NA,0.029,0.058,2,1,"0"
"o3",2,"2","4UDY72",1,"A",180.865,180.788,181.141,180.931,0.186,0.107,2,0.214,"ronda_referencia","nmol/mol","4UDY72",180.865,180.788,181.141,0.107,0.214,2,3,"100|160|220"
"o3",3,"3","4UDY72",1,"A",121.084,121.526,121.777,121.462,0.351,0.203,2,0.406,"ronda_referencia","nmol/mol","4UDY72",121.084,121.526,121.777,0.203,0.406,2,3,"280|340|400"
"o3",4,"4","4UDY72",1,"A",80.819,80.714,80.56,80.698,0.13,0.075,2,0.15,"ronda_referencia","nmol/mol","4UDY72",80.819,80.714,80.56,0.075,0.15,2,3,"460|520|580"
"o3",5,"5","4UDY72",1,"A",40.285,40.47,40.446,40.4,0.101,0.058,2,0.116,"ronda_referencia","nmol/mol","4UDY72",40.285,40.47,40.446,0.058,0.116,2,3,"640|700|760"
