Date Time,Time,Serial,Act Conc,Target O3
, , ,PPB,PPB
05/01/26 ,16:06, ,181.,144.
05/01/26 ,16:08, ,181., 
05/01/26 ,16:10, ,180.,144.
05/01/26 ,16:12, ,180.,144.
05/01/26 ,16:14, ,180.,144.
05/01/26 ,16:16, ,180.,144.
05/01/26 ,16:18, , ,144.
05/01/26 ,16:20, ,181.,144.
05/01/26 ,16:22, ,181.,144.
05/01/26 ,16:24, ,181.,144.
05/01/26 ,16:26, ,180.,144.
05/01/26 ,16:28, ,180.,144.
05/01/26 ,16:30, ,181.,144.
05/01/26 ,16:32, ,180.,144.
05/01/26 ,16:34, ,180.,144.
05/01/26 ,16:36, ,180.,144.
05/01/26 ,16:38, ,181.,144.
05/01/26 ,16:40, ,181.,144.
05/01/26 ,16:42, ,181.,144.
05/01/26 ,16:44, ,180.,144.
05/01/26 ,16:46, ,180.,144.
05/01/26 ,16:48, ,180.,144.
05/01/26 ,16:50, ,180.,144.
05/01/26 ,16:52, ,180.,144.
05/01/26 ,16:54, , ,144.
05/01/26 ,16:56, ,181.,144.
05/01/26 ,16:58, ,181.,144.
05/01/26 ,17:00, ,181.,144.
05/01/26 ,17:02, ,181.,144.
05/01/26 ,17:04, ,180.,144.
05/01/26 ,17:06, ,180.,144.
05/01/26 ,17:08, ,180., 
05/01/26 ,17:10, ,180.,144.
05/01/26 ,17:12, ,180.,144.
05/01/26 ,17:14, ,181.,144.
05/01/26 ,17:16, ,181.,144.
05/01/26 ,17:18, ,181.,144.
05/01/26 ,17:20, ,181.,144.
05/01/26 ,17:22, ,180.,144.
05/01/26 ,17:24, ,180.,144.
05/01/26 ,17:26, ,180., 
05/01/26 ,17:28, ,180.,144.
05/01/26 ,17:30, ,181.,144.
05/01/26 ,17:32, ,181.,144.
05/01/26 ,17:34, ,180.,144.
05/01/26 ,17:36, ,180.,144.
05/01/26 ,17:38, ,181.,144.
05/01/26 ,17:40, ,181.,144.
05/01/26 ,17:42, ,180.,144.
05/01/26 ,17:44, ,180.,144.
05/01/26 ,17:46, ,180.,144.
05/01/26 ,17:48, ,180.,144.
05/01/26 ,17:50, ,180.,144.
05/01/26 ,17:52, ,180.,144.
05/01/26 ,17:54, ,180.,144.
05/01/26 ,17:56, ,181.,144.
05/01/26 ,17:58, ,180.,144.
05/01/26 ,18:00, ,180.,144.
05/01/26 ,18:02, ,180.,144.
05/01/26 ,18:04, ,181.,144.
05/01/26 ,18:06, ,180.,144.
05/01/26 ,18:08, , ,144.
05/01/26 ,18:10, ,180.,144.
05/01/26 ,18:12, ,181.,144.
05/01/26 ,18:14, ,180.,144.
05/01/26 ,18:16, ,180.,144.
05/01/26 ,18:18, ,181.,144.
05/01/26 ,18:20, ,181.,144.
05/01/26 ,18:22, ,180.,700.
05/01/26 ,18:24, ,180.,144.
05/01/26 ,18:26, ,180.,144.
05/01/26 ,18:28, ,181.,144.
05/01/26 ,18:30, ,181.,144.
05/01/26 ,18:32, ,181.,144.
05/01/26 ,18:34, ,180.,144.
05/01/26 ,18:36, ,180.,144.
05/01/26 ,18:38, ,180.,144.
05/01/26 ,18:40, ,180.,144.
05/01/26 ,18:42, ,180.,144.
05/01/26 ,18:44, ,180.,144.
05/01/26 ,18:46, ,180.,144.
05/01/26 ,18:48, ,180.,144.
05/01/26 ,18:50, ,181.,144.
05/01/26 ,18:52, ,181.,144.
05/01/26 ,18:54, ,180.,144.
05/01/26 ,18:56, ,180.,144.
05/01/26 ,18:58, ,180.,144.
05/01/26 ,19:00, ,180.,144.
05/01/26 ,19:02, ,180.,144.
05/01/26 ,19:04, ,180.,144.
05/01/26 ,19:06, ,180.,144.
05/01/26 ,19:08, ,181.,144.
05/01/26 ,19:10, ,181.,144.
05/01/26 ,19:12, ,181.,144.
05/01/26 ,19:16, ,180.,112.
05/01/26 ,19:18, ,180.,112.
05/01/26 ,19:20, ,181.,112.
05/01/26 ,19:22, , ,112.
05/01/26 ,19:24, ,181.,112.
05/01/26 ,19:26, ,181.,112.
05/01/26 ,19:28, ,181.,112.
05/01/26 ,19:30, ,181.,112.
05/01/26 ,19:32, ,181.,112.
05/01/26 ,19:34, ,181.,112.
05/01/26 ,19:36, ,180., 
05/01/26 ,19:38, ,180.,112.
05/01/26 ,19:40, , ,112.
05/01/26 ,19:42, ,180.,112.
05/01/26 ,19:44, ,181.,112.
05/01/26 ,19:46, ,181.,112.
05/01/26 ,19:48, ,180.,112.
05/01/26 ,19:50, ,180.,112.
05/01/26 ,19:52, ,180.,112.
05/01/26 ,19:54, ,180.,112.
05/01/26 ,19:56, ,180.,112.
05/01/26 ,19:58, ,180.,112.
05/01/26 ,20:00, ,181.,112.
05/01/26 ,20:02, ,180.,112.
05/01/26 ,20:04, ,181.,112.
05/01/26 ,20:06, ,181.,112.
05/01/26 ,20:08, ,181.,112.
05/01/26 ,20:10, ,181.,112.
05/01/26 ,20:12, ,180.,112.
05/01/26 ,20:14, ,181.,112.
05/01/26 ,20:16, ,181.,112.
05/01/26 ,20:18, ,181.,112.
05/01/26 ,20:20, ,181.,112.
05/01/26 ,20:22, ,181.,112.
05/01/26 ,20:24, ,181.,112.
05/01/26 ,20:26, ,181.,112.
05/01/26 ,20:28, ,181.,112.
05/01/26 ,20:30, ,181.,112.
05/01/26 ,20:32, ,180.,112.
05/01/26 ,20:34, ,181.,112.
05/01/26 ,20:36, ,181.,112.
05/01/26 ,20:38, ,180.,112.
05/01/26 ,20:40, ,181.,112.
05/01/26 ,20:42, ,181.,112.
05/01/26 ,20:44, ,180.,112.
05/01/26 ,20:46, ,180.,112.
05/01/26 ,20:48, ,180.,112.
05/01/26 ,20:50, ,180.,112.
05/01/26 ,20:52, ,180.,112.
05/01/26 ,20:54, , ,112.
05/01/26 ,20:56, ,181.,112.
05/01/26 ,20:58, ,181.,112.
05/01/26 ,21:00, ,180.,112.
05/01/26 ,21:02, ,181.,112.
05/01/26 ,21:04, ,181.,112.
05/01/26 ,21:08, ,180.,112.
05/01/26 ,21:10, ,181.,112.
05/01/26 ,21:12, , ,112.
05/01/26 ,21:14, ,181.,112.
05/01/26 ,21:16, ,181.,112.
05/01/26 ,21:18, ,181.,112.
05/01/26 ,21:20, ,181.,112.
05/01/26 ,21:22, ,181.,112.
05/01/26 ,21:24, ,181.,112.
05/01/26 ,21:26, ,181., 
05/01/26 ,21:28, ,181.,112.
05/01/26 ,21:30, , ,112.
05/01/26 ,21:32, ,181.,112.
05/01/26 ,21:34, ,181.,112.
05/01/26 ,21:36, ,181.,112.
05/01/26 ,21:38, ,180.,112.
05/01/26 ,21:40, ,180.,112.
05/01/26 ,21:42, ,180.,112.
05/01/26 ,21:44, ,181.,112.
05/01/26 ,21:46, ,180.,112.
05/01/26 ,21:48, ,180.,112.
05/01/26 ,21:50, ,180.,112.
05/01/26 ,21:52, ,181.,112.
05/01/26 ,21:54, ,180.,112.
05/01/26 ,21:56, ,180.,112.
05/01/26 ,21:58, ,181.,112.
05/01/26 ,22:00, ,180.,112.
05/01/26 ,22:02, ,180.,112.
05/01/26 ,22:04, ,181., 
05/01/26 ,22:06, ,181.,112.
05/01/26 ,22:08, ,181.,112.
05/01/26 ,22:10, ,181.,112.
05/01/26 ,22:12, ,181.,112.
05/01/26 ,22:14, ,181.,112.
05/01/26 ,22:16, ,181.,112.
05/01/26 ,22:18, ,181.,112.
05/01/26 ,22:22, ,181.,64.
05/01/26 ,22:24, ,181.,64.
05/01/26 ,22:26, ,181.,64.
05/01/26 ,22:28, ,180.,64.
05/01/26 ,22:30, ,181.,64.
05/01/26 ,22:32, ,181.,64.
05/01/26 ,22:34, ,181.,64.
05/01/26 ,22:36, ,180.,64.
05/01/26 ,22:38, ,181.,64.
05/01/26 ,22:40, ,181.,64.
05/01/26 ,22:42, ,180.,64.
05/01/26 ,22:44, ,181.,64.
05/01/26 ,22:46, ,181.,64.
05/01/26 ,22:48, ,181.,64.
05/01/26 ,22:50, ,181.,64.
05/01/26 ,22:52, ,181.,64.
05/01/26 ,22:54, ,181.,64.
05/01/26 ,22:56, ,181.,64.
05/01/26 ,22:58, ,181.,64.
05/01/26 ,23:00, ,181.,64.
05/01/26 ,23:02, ,181.,64.
05/01/26 ,23:04, ,181.,64.
05/01/26 ,23:06, ,181.,64.
05/01/26 ,23:08, ,181.,64.
05/01/26 ,23:10, ,181.,64.
05/01/26 ,23:12, ,181.,64.
05/01/26 ,23:14, ,181.,64.
05/01/26 ,23:16, ,181.,64.
05/01/26 ,23:18, ,181.,64.
05/01/26 ,23:20, ,181.,64.
05/01/26 ,23:22, , ,64.
05/01/26 ,23:24, ,181.,64.
05/01/26 ,23:26, ,181.,64.
05/01/26 ,23:28, ,181.,64.
05/01/26 ,23:30, ,181.,64.
05/01/26 ,23:32, ,181.,64.
05/01/26 ,23:34, ,181.,64.
05/01/26 ,23:36, ,180., 
05/01/26 ,23:38, ,180.,64.
05/01/26 ,23:40, , ,64.
05/01/26 ,23:42, ,181.,64.
05/01/26 ,23:44, ,181.,64.
05/01/26 ,23:46, ,181.,64.
05/01/26 ,23:48, ,181.,64.
05/01/26 ,23:50, ,181.,64.
05/01/26 ,23:52, ,181.,64.
05/01/26 ,23:54, ,181.,64.
05/01/26 ,23:56, ,181.,64.
05/01/26 ,23:58, ,181.,64.
05/01/26 ,24:00, ,181.,64.
05/02/26 ,00:02, ,181.,64.
05/02/26 ,00:04, ,181.,64.
05/02/26 ,00:06, ,181.,64.
05/02/26 ,00:08, ,181.,64.
05/02/26 ,00:10, ,181.,64.
05/02/26 ,00:12, ,181., 
05/02/26 ,00:14, ,181.,64.
05/02/26 ,00:16, ,181.,64.
05/02/26 ,00:18, ,181.,64.
05/02/26 ,00:20, ,181.,64.
05/02/26 ,00:22, ,181.,64.
05/02/26 ,00:24, ,181.,64.
05/02/26 ,00:26, ,181.,64.
05/02/26 ,00:28, ,181.,64.
05/02/26 ,00:30, ,181.,64.
05/02/26 ,00:32, ,180.,64.
05/02/26 ,00:34, ,180.,64.
05/02/26 ,00:36, ,181.,64.
05/02/26 ,00:38, ,181.,64.
05/02/26 ,00:40, ,181.,64.
05/02/26 ,00:42, ,181.,64.
05/02/26 ,00:44, ,181.,64.
05/02/26 ,00:46, ,181.,64.
05/02/26 ,00:48, ,181.,64.
05/02/26 ,00:50, ,181., 
05/02/26 ,00:52, ,181.,64.
05/02/26 ,00:54, ,181.,64.
05/02/26 ,00:56, ,181.,64.
05/02/26 ,00:58, ,181.,64.
05/02/26 ,01:00, ,181.,64.
05/02/26 ,01:02, ,181.,64.
05/02/26 ,01:04, ,181.,64.
05/02/26 ,01:06, ,181.,64.
05/02/26 ,01:08, ,181.,64.
05/02/26 ,01:10, ,181.,64.
05/02/26 ,01:12, ,181.,64.
05/02/26 ,01:14, ,181.,64.
05/02/26 ,01:16, ,181.,64.
05/02/26 ,01:18, ,180.,64.
05/02/26 ,01:20, ,181.,32.
05/02/26 ,01:22, ,181.,32.
05/02/26 ,01:24, ,181.,32.
05/02/26 ,01:26, ,181.,32.
05/02/26 ,01:28, ,181.,32.
05/02/26 ,01:30, ,181.,32.
05/02/26 ,01:32, ,181.,32.
05/02/26 ,01:34, ,181.,32.
05/02/26 ,01:36, ,181.,32.
05/02/26 ,01:38, ,181., 
05/02/26 ,01:40, ,181.,32.
05/02/26 ,01:42, , ,32.
05/02/26 ,01:44, ,181.,32.
05/02/26 ,01:46, ,181.,32.
05/02/26 ,01:48, ,181.,32.
05/02/26 ,01:50, ,181.,32.
05/02/26 ,01:52, ,181.,32.
05/02/26 ,01:54, ,181.,32.
05/02/26 ,01:56, ,181.,32.
05/02/26 ,01:58, ,181.,32.
05/02/26 ,02:00, , ,32.
05/02/26 ,02:02, ,181.,32.
05/02/26 ,02:04, ,181.,32.
05/02/26 ,02:06, ,181.,32.
05/02/26 ,02:08, ,181.,32.
05/02/26 ,02:10, ,181.,32.
05/02/26 ,02:12, ,181.,32.
05/02/26 ,02:14, ,180., 
05/02/26 ,02:16, ,181.,32.
05/02/26 ,02:18, , ,32.
05/02/26 ,02:20, , ,32.
05/02/26 ,02:22, ,181.,32.
05/02/26 ,02:24, ,181.,32.
05/02/26 ,02:26, ,181.,32.
05/02/26 ,02:28, ,181.,32.
05/02/26 ,02:30, ,181.,32.
05/02/26 ,02:32, ,181., 
05/02/26 ,02:34, ,181.,32.
05/02/26 ,02:36, , ,32.
05/02/26 ,02:38, ,181.,32.
05/02/26 ,02:40, ,181.,32.
05/02/26 ,02:42, ,181.,32.
05/02/26 ,02:44, ,181.,32.
05/02/26 ,02:46, ,181.,32.
05/02/26 ,02:48, ,181.,32.
05/02/26 ,02:50, ,181.,32.
05/02/26 ,02:52, ,181.,32.
05/02/26 ,02:54, ,181.,32.
05/02/26 ,02:56, ,181.,32.
05/02/26 ,02:58, ,181.,32.
05/02/26 ,03:00, ,181.,32.
05/02/26 ,03:02, ,181.,32.
05/02/26 ,03:04, ,181.,32.
05/02/26 ,03:06, ,181.,32.
05/02/26 ,03:08, ,181.,32.
05/02/26 ,03:10, ,181.,32.
05/02/26 ,03:12, ,181.,32.
05/02/26 ,03:14, ,181.,32.
05/02/26 ,03:16, ,181.,32.
05/02/26 ,03:18, ,181.,32.
05/02/26 ,03:20, ,181.,32.
05/02/26 ,03:22, ,181.,32.
05/02/26 ,03:24, ,181.,32.
05/02/26 ,03:26, ,181.,32.
05/02/26 ,03:28, ,181.,32.
05/02/26 ,03:30, ,181.,32.
05/02/26 ,03:32, ,181.,32.
05/02/26 ,03:34, ,181.,32.
05/02/26 ,03:36, ,181.,32.
05/02/26 ,03:38, ,181.,32.
05/02/26 ,03:40, ,181.,32.
05/02/26 ,03:42, ,181.,32.
05/02/26 ,03:44, ,181.,32.
05/02/26 ,03:46, ,181.,32.
05/02/26 ,03:48, ,181.,32.
05/02/26 ,03:50, ,181.,32.
05/02/26 ,03:52, ,181.,32.
05/02/26 ,03:54, ,181.,32.
05/02/26 ,03:56, ,181.,32.
05/02/26 ,03:58, ,181.,32.
05/02/26 ,04:00, ,181.,32.
05/02/26 ,04:02, ,181.,32.
05/02/26 ,04:04, ,181.,32.
05/02/26 ,04:06, ,181.,32.
05/02/26 ,04:08, , ,32.
05/02/26 ,04:10, ,181.,32.
05/02/26 ,04:12, ,181.,32.
05/02/26 ,04:14, ,181.,32.
