Date Time,Time,Serial,Act Conc
, , ,PPB
05/01/26 ,03:02, , 
05/01/26 ,03:04, , 
05/01/26 ,03:06, , 
05/01/26 ,03:08, , 
05/01/26 ,03:10, , 
05/01/26 ,03:12, , 
05/01/26 ,03:14, , 
05/01/26 ,03:16, , 
05/01/26 ,03:18, , 
05/01/26 ,03:20, , 
05/01/26 ,03:22, , 
05/01/26 ,03:24, , 
05/01/26 ,03:26, , 
05/01/26 ,03:28, , 
05/01/26 ,03:30, , 
05/01/26 ,03:32, , 
05/01/26 ,03:34, , 
05/01/26 ,03:36, , 
05/01/26 ,03:38, , 
05/01/26 ,03:40, , 
05/01/26 ,03:42, , 
05/01/26 ,03:44, , 
05/01/26 ,03:46, , 
05/01/26 ,03:48, , 
05/01/26 ,03:50, , 
05/01/26 ,03:52, , 
05/01/26 ,03:54, , 
05/01/26 ,03:56, , 
05/01/26 ,03:58, , 
05/01/26 ,04:00, , 
05/01/26 ,04:02, , 
05/01/26 ,04:04, , 
05/01/26 ,04:06, , 
05/01/26 ,04:08, , 
05/01/26 ,04:10, , 
05/01/26 ,04:12, , 
05/01/26 ,04:16, ,180.
05/01/26 ,04:18, ,180.
05/01/26 ,04:20, ,180.
05/01/26 ,04:22, ,180.
05/01/26 ,04:24, ,180.
05/01/26 ,04:26, ,180.
05/01/26 ,04:30, ,180.
05/01/26 ,04:32, ,180.
05/01/26 ,04:34, ,180.
05/01/26 ,04:36, ,180.
05/01/26 ,04:38, ,180.
05/01/26 ,04:40, ,180.
05/01/26 ,04:42, ,180.
05/01/26 ,04:44, ,700.
05/01/26 ,04:46, ,180.
05/01/26 ,04:48, ,180.
05/01/26 ,04:50, ,180.
05/01/26 ,04:52, ,180.
05/01/26 ,04:54, ,180.
05/01/26 ,04:56, ,180.
05/01/26 ,04:58, ,180.
05/01/26 ,05:00, ,180.
05/01/26 ,05:02, ,181.
05/01/26 ,05:04, ,181.
05/01/26 ,05:06, ,180.
05/01/26 ,05:08, ,181.
05/01/26 ,05:10, ,180.
05/01/26 ,05:12, ,180.
05/01/26 ,05:14, ,180.
05/01/26 ,05:16, ,180.
05/01/26 ,05:18, ,181.
05/01/26 ,05:20, ,180.
05/01/26 ,05:22, ,180.
05/01/26 ,05:24, ,180.
05/01/26 ,05:26, ,180.
05/01/26 ,05:28, ,180.
05/01/26 ,05:30, ,180.
05/01/26 ,05:32, ,181.
05/01/26 ,05:34, ,180.
05/01/26 ,05:36, ,180.
05/01/26 ,05:38, ,181.
05/01/26 ,05:40, ,180.
05/01/26 ,05:42, ,180.
05/01/26 ,05:44, ,180.
05/01/26 ,05:46, , 
05/01/26 ,05:48, ,180.
05/01/26 ,05:50, ,180.
05/01/26 ,05:52, ,180.
05/01/26 ,05:54, ,180.
05/01/26 ,05:56, ,180.
05/01/26 ,05:58, ,180.
05/01/26 ,06:00, ,180.
05/01/26 ,06:02, ,180.
05/01/26 ,06:04, ,181.
05/01/26 ,06:06, ,181.
05/01/26 ,06:08, ,181.
05/01/26 ,06:10, ,180.
05/01/26 ,06:12, ,180.
05/01/26 ,06:14, ,180.
05/01/26 ,06:16, ,181.
05/01/26 ,06:18, ,180.
05/01/26 ,06:20, ,181.
05/01/26 ,06:22, ,181.
05/01/26 ,06:24, ,180.
05/01/26 ,06:26, ,180.
05/01/26 ,06:28, ,180.
05/01/26 ,06:30, ,181.
05/01/26 ,06:32, ,180.
05/01/26 ,06:34, ,181.
05/01/26 ,06:36, ,181.
05/01/26 ,06:38, ,181.
05/01/26 ,06:40, ,180.
05/01/26 ,06:42, ,180.
05/01/26 ,06:44, ,180.
05/01/26 ,06:46, ,180.
05/01/26 ,06:48, , 
05/01/26 ,06:50, ,181.
05/01/26 ,06:52, ,180.
05/01/26 ,06:54, ,180.
05/01/26 ,06:56, ,180.
05/01/26 ,06:58, ,180.
