Date Time O3_ref O3_p1 O3_gen
04/30/26 "01:32:00 PM" 0.706 0 0
04/30/26 "01:33:00 PM" 0.867 0 0
04/30/26 "01:34:00 PM" 0.733 0 0
04/30/26 "01:35:00 PM" 0.792 0 0
04/30/26 "01:36:00 PM" 0.344 0 0
04/30/26 "01:37:00 PM" 0.593 0 0
04/30/26 "01:38:00 PM" 0.486 0 0
04/30/26 "01:39:00 PM" 0.502 0 0
04/30/26 "01:40:00 PM" 0.475 0 0
04/30/26 "01:41:00 PM" 0.359 0 0
04/30/26 "01:42:00 PM" 0.608 0 0
04/30/26 "01:43:00 PM" 0.485 0 0
04/30/26 "01:44:00 PM" 0.381 0 0
04/30/26 "01:45:00 PM" 0.056 0 0
04/30/26 "01:46:00 PM" 0.497 0 0
04/30/26 "01:47:00 PM" 0.352 0 0
04/30/26 "01:48:00 PM" 0.182 0 0
04/30/26 "01:49:00 PM" 0.149 0 0
04/30/26 "01:50:00 PM" -0.099 0 0
04/30/26 "01:51:00 PM" -0.007 0 0
04/30/26 "01:52:00 PM" -0.061 0 0
04/30/26 "01:53:00 PM" 0.073 0 0
04/30/26 "01:54:00 PM" 0.265 0 0
04/30/26 "01:55:00 PM" -0.122 0.04 0
04/30/26 "01:56:00 PM" -0.144 0 0
04/30/26 "01:57:00 PM" -0.059 0 0
04/30/26 "01:58:00 PM" -0.484 0.018 0
04/30/26 "01:59:00 PM" -0.374 0.047 0
04/30/26 "02:00:00 PM" -0.124 0.033 0
04/30/26 "02:01:00 PM" -0.483 0.19 0
04/30/26 "02:02:00 PM" -0.39 0.045 0
04/30/26 "02:03:00 PM" -0.495 0 0
04/30/26 "02:04:00 PM" -0.277 0 0
04/30/26 "02:05:00 PM" -0.417 0 0
04/30/26 "02:06:00 PM" -0.105 0 0
04/30/26 "02:07:00 PM" -0.373 0 0
04/30/26 "02:08:00 PM" -0.657 0 0
04/30/26 "02:09:00 PM" -0.437 0 0
04/30/26 "02:10:00 PM" -0.757 0.033 0
04/30/26 "02:11:00 PM" -0.73 0.392 0
04/30/26 "02:12:00 PM" -0.95 0.227 0
04/30/26 "02:13:00 PM" -0.808 0.028 0
04/30/26 "02:14:00 PM" -0.48 0 0
04/30/26 "02:15:00 PM" -0.51 0.037 0
04/30/26 "02:16:00 PM" -0.418 0.033 0
04/30/26 "02:17:00 PM" -0.537 0.387 0
04/30/26 "02:18:00 PM" -0.899 0.623 0
04/30/26 "02:19:00 PM" -0.82 0.06 0
04/30/26 "02:20:00 PM" -0.395 0.188 0
04/30/26 "02:21:00 PM" -0.923 0.21 0
04/30/26 "02:22:00 PM" -0.922 0.048 0
04/30/26 "02:23:00 PM" -0.656 0 0
04/30/26 "02:24:00 PM" -0.887 0 0
04/30/26 "02:25:00 PM" -0.756 0 0
04/30/26 "02:26:00 PM" -0.621 0 0
04/30/26 "02:27:00 PM" -1.002 0 0
04/30/26 "02:28:00 PM" -0.681 0 0
